,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0325,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,38.31081633,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,59.17387756,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0335,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,58.31081633,18.71897963,38.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,17.87897958,38.69530608,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0345,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.71897963,-1.68918367,18.71897963,19.01918368,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,59.01918368,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,17.94938776,18.35755106,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0355,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,38.31081633,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,39.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,18.35755106,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.0365,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,17.87897958,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,18.35755106,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021
0.0375,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,38.69530608,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,17.94938776,-2.05061224,17.94938776,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021
0.0385,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,-2.12102042,-2.12102042,37.87897958,-2.12102042,17.87897958,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0395,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,38.69530608,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0405,-1.68918367,-1.68918367,18.71897963,-1.68918367,38.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,57.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,17.94938776,-2.05061224,17.94938776,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0415,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,39.01918368,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0425,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,37.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.0435,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,19.01918368,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,38.76571426,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0445,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,38.69530608,-2.12102042,18.28714288,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.0455,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,57.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0465,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,17.87897958,17.87897958,37.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021
0.0475,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0485,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,58.31081633,18.31081633,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0495,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,58.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0505,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0515,-1.68918367,-1.68918367,-1.68918367,-1.68918367,38.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,19.01918368,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0525,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.0535,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,18.71897963,-1.68918367,18.71897963,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021
0.0545,18.31081633,-1.68918367,18.71897963,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,17.94938776,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.0555,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.31081633,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.94938776,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0565,18.31081633,-1.68918367,-1.68918367,18.71897963,18.31081633,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,18.35755106,-2.05061224,38.76571426,-2.05061224,17.94938776,17.94938776,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021
0.0575,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0585,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,19.42734698,-0.98081632,-0.98081632,-0.98081632,39.01918368,-0.98081632,-0.98081632,-0.98081632,17.87897958,-2.12102042,18.28714288,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0595,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,17.94938776,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0605,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0615,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,37.87897958,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.0625,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,37.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0635,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,39.12714283,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,17.94938776,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,18.35755106,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021
0.0645,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.42734698,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,17.87897958,-2.12102042,-2.12102042,17.87897958,-2.12102042,17.94938776,18.35755106,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,37.94938776,-2.05061224,-0.46551021,-0.46551021,19.94265309,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.0655,-1.68918367,-1.68918367,-1.68918367,18.71897963,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-0.98081632,19.42734698,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,19.42734698,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,57.87897958,-2.12102042,-2.12102042,-2.12102042,17.87897958,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309,-0.46551021,19.94265309
0.0665,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.31081633,18.71897963,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,18.28714288,17.87897958,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0675,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,-1.68918367,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,39.83551018,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
0.0685,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,38.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,19.01918368,19.42734698,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,17.94938776,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021
0.0695,-1.68918367,-1.68918367,-1.68918367,-1.68918367,-1.68918367,18.31081633,-1.68918367,18.71897963,18.31081633,-1.68918367,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,-0.98081632,39.01918368,-0.98081632,-0.98081632,-0.98081632,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,-2.12102042,18.28714288,-2.12102042,-2.12102042,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,-2.05061224,18.35755106,37.94938776,-2.05061224,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.53448979,-0.46551021,-0.46551021,-0.46551021,-0.46551021,19.94265309
