,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0275,-2.7477551,17.2522449,-2.7477551,-2.7477551,17.2522449,17.6604082,17.2522449,57.2522449,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,59.43387755,98.20938775,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,37.84653061,-2.15346939,17.84653061,17.84653061,38.66285711,-2.15346939,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,19.40693882,-1.00122448,18.99877552,39.81510202,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,39.6740816,38.8577551,18.8577551,19.2659184,19.2659184,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,19.42959189,19.02142859,19.02142859,-0.97857141,-0.97857141
0.0285,-2.7477551,17.2522449,-2.7477551,-2.7477551,17.2522449,-2.7477551,37.2522449,77.2522449,17.6604082,17.6604082,-1.79061225,18.20938775,-1.79061225,-1.79061225,78.20938775,222.6991837,118.2093878,38.20938775,18.61755105,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,18.25469391,17.84653061,59.07102041,57.84653061,37.84653061,-2.15346939,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,39.81510202,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,60.0822449,18.8577551,18.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,19.42959189,-0.97857141,19.42959189,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0295,-2.7477551,-2.7477551,-2.7477551,38.0685714,-2.7477551,-2.7477551,57.2522449,37.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,58.20938775,39.02571425,38.20938775,18.20938775,-1.79061225,-1.79061225,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,17.71571428,-2.28428572,18.12387758,-2.15346939,17.84653061,-2.15346939,-2.15346939,17.84653061,-2.15346939,37.84653061,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,19.2659184,-1.1422449,18.8577551,39.6740816,58.8577551,38.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,39.02142859,-0.97857141,-0.97857141
0.0305,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,58.4767347,37.2522449,-2.7477551,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,-1.79061225,98.20938775,100.2502041,98.20938775,18.20938775,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,18.12387758,18.12387758,-2.15346939,-2.15346939,-2.15346939,18.25469391,17.84653061,38.66285711,-2.15346939,17.84653061,-2.15346939,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,39.81510202,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,162.1230612,38.8577551,38.8577551,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,39.02142859,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0315,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,-2.7477551,17.2522449,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,100.2502041,18.20938775,-1.79061225,18.61755105,-1.79061225,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,18.25469391,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,38.99877552,-1.00122448,-1.00122448,-1.00122448,19.40693882,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,60.0822449,38.8577551,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.42959189,19.02142859,-0.97857141,19.42959189,-0.97857141
0.0325,-2.7477551,-2.7477551,17.6604082,-2.7477551,57.2522449,-2.7477551,-2.7477551,17.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,58.20938775,39.02571425,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,37.84653061,18.25469391,17.84653061,17.84653061,-2.15346939,18.25469391,-1.00122448,-1.00122448,-1.00122448,-1.00122448,38.99877552,19.40693882,38.99877552,-1.00122448,-1.00122448,-1.00122448,-1.1422449,18.8577551,-1.1422449,-1.1422449,38.8577551,100.8985714,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0335,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,38.0685714,37.2522449,-2.7477551,17.6604082,-2.7477551,-1.79061225,-1.79061225,-1.79061225,18.61755105,18.20938775,39.02571425,-1.79061225,-1.79061225,-1.79061225,-1.79061225,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,18.25469391,17.84653061,37.84653061,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,60.0822449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0345,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,78.20938775,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,57.71571428,-2.28428572,-2.28428572,-2.28428572,17.84653061,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,58.99877552,39.81510202,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,39.6740816,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,59.02142859,39.83775509,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0355,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,18.61755105,98.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,37.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,17.84653061,18.25469391,18.25469391,57.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,39.81510202,-1.00122448,-1.00122448,-1.00122448,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,58.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0365,-2.7477551,-2.7477551,-2.7477551,-2.7477551,77.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,-1.79061225,78.20938775,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,19.40693882,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,58.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,39.83775509,-0.97857141,19.42959189,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0375,-2.7477551,-2.7477551,-2.7477551,-2.7477551,37.2522449,-2.7477551,17.2522449,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,58.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.84653061,-2.15346939,-2.15346939,-2.15346939,37.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,38.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.2659184,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,19.02142859,19.02142859,-0.97857141,-0.97857141
0.0385,-2.7477551,-2.7477551,-2.7477551,-2.7477551,17.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,-1.79061225,18.20938775,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,37.71571428,18.12387758,-2.28428572,17.71571428,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,-2.15346939,37.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,19.2659184,-1.1422449,38.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0395,-2.7477551,-2.7477551,-2.7477551,-2.7477551,57.2522449,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,18.20938775,-1.79061225,-1.79061225,18.61755105,38.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,17.71571428,-2.28428572,18.12387758,-2.28428572,37.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,17.84653061,18.25469391,-2.15346939,17.84653061,-2.15346939,18.25469391,-1.00122448,-1.00122448,19.40693882,60.22326532,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,19.42959189,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0405,17.2522449,-2.7477551,-2.7477551,-2.7477551,57.2522449,-2.7477551,17.2522449,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,-1.79061225,38.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,19.2659184,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0415,-2.7477551,-2.7477551,-2.7477551,38.0685714,37.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,18.25469391,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,59.02142859,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0425,17.2522449,-2.7477551,-2.7477551,38.0685714,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,59.43387755,18.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,17.71571428,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.15346939,-2.15346939,-2.15346939,38.66285711,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,39.81510202,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,38.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0435,-2.7477551,17.2522449,17.6604082,17.6604082,37.2522449,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,18.61755105,38.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,18.12387758,38.53204078,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,17.84653061,-2.15346939,18.25469391,-2.15346939,37.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.99877552,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0445,-2.7477551,-2.7477551,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,18.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,19.40693882,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0455,-2.7477551,-2.7477551,-2.7477551,38.0685714,17.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,-1.79061225,18.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,18.25469391,18.25469391,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,19.40693882,-1.00122448,38.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,60.0822449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0465,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,18.61755105,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,17.71571428,17.71571428,18.12387758,-2.28428572,37.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.84653061,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,19.42959189,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0475,-2.7477551,-2.7477551,-2.7477551,17.6604082,17.2522449,-2.7477551,-2.7477551,17.2522449,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,18.61755105,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,18.12387758,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,19.2659184,19.2659184,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.02142859,-0.97857141,-0.97857141,19.42959189,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0485,17.2522449,17.2522449,-2.7477551,38.0685714,17.2522449,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,18.61755105,18.20938775,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,18.8577551,39.6740816,19.2659184,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0495,-2.7477551,-2.7477551,-2.7477551,-2.7477551,37.2522449,-2.7477551,-2.7477551,17.2522449,-2.7477551,17.6604082,-1.79061225,-1.79061225,-1.79061225,59.43387755,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,19.02142859,-0.97857141,-0.97857141,-0.97857141,19.02142859,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0505,-2.7477551,-2.7477551,-2.7477551,17.6604082,17.2522449,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,39.02571425,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,18.12387758,58.94020408,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,18.8577551,-1.1422449,-1.1422449,18.8577551,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0515,17.2522449,-2.7477551,-2.7477551,38.0685714,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,18.20938775,18.20938775,-1.79061225,39.02571425,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,17.84653061,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-1.00122448,-1.00122448,-1.00122448,-1.00122448,18.99877552,-1.00122448,-1.00122448,-1.00122448,-1.00122448,19.40693882,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0525,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,39.02571425,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,-2.28428572,-2.28428572,38.53204078,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,18.25469391,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.99877552,-1.00122448,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,19.2659184,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
0.0535,-2.7477551,17.2522449,-2.7477551,17.6604082,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-2.7477551,-1.79061225,-1.79061225,-1.79061225,39.02571425,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-1.79061225,-2.28428572,17.71571428,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.28428572,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,-2.15346939,18.99877552,-1.00122448,19.40693882,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.00122448,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-1.1422449,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141,-0.97857141
